Date,Open,High,Low,Close,Adj Close,Volume
2016-10-14,75.461761,76.514984,75.461761,75.974136,68.478645,3269795
2016-10-17,75.760651,76.500748,75.120178,75.433296,67.991165,3351086
2016-10-18,76.216095,76.714241,75.959908,76.415352,68.876350,2994513
2016-10-19,76.685776,77.098518,76.287262,76.756935,69.184189,4516010
2016-10-20,76.458054,76.813866,76.159164,76.600380,69.043098,2630281
2016-10-21,76.144936,77.141220,75.902977,76.998894,69.402298,4617677
2016-10-24,77.326248,77.383179,76.842331,77.198151,69.581894,3751432
2016-10-25,77.240852,77.283546,76.500748,77.013123,69.415131,5273842
2016-10-26,76.643074,76.870796,76.144936,76.514984,68.966125,4561117
2016-10-27,77.183922,78.550255,76.756935,77.653595,69.992409,7812504
2016-10-28,77.596664,78.194443,76.657310,76.742706,69.171394,5716906
2016-10-31,77.070061,77.070061,76.287262,76.586143,69.030266,4183044
2016-11-01,76.899261,76.899261,75.846046,76.543449,68.991783,4998279
2016-11-02,76.386887,76.500748,76.016838,76.287262,68.760880,4358977
2016-11-03,76.443817,76.472282,75.774879,75.803345,68.324692,3407576
2016-11-04,75.774879,75.974136,75.347900,75.618324,68.157928,4363052
2016-11-07,76.486519,76.771172,75.746414,76.358421,68.825012,5274615
2016-11-08,76.344193,76.472282,75.831810,76.045303,68.542793,5745643
2016-11-09,74.095421,76.927727,73.440720,76.671539,69.107231,7850163
2016-11-10,76.586143,77.326248,76.287262,77.070061,69.466454,7753695
2016-11-11,76.700005,76.956192,75.262505,76.358421,68.825012,8692660
2016-11-14,76.514984,76.956192,75.532928,76.087997,68.581276,5581655
2016-11-15,76.059532,76.173393,74.465469,75.675255,68.209244,5947362
2016-11-16,75.661018,76.443817,75.461761,75.689484,68.222076,3288203
2016-11-17,75.888741,76.045303,75.034782,75.945671,68.452965,2990016
2016-11-18,75.703720,76.116463,75.447533,75.760651,68.286217,4454321
2016-11-21,76.216095,77.027359,76.159164,76.856567,69.274017,5237588
2016-11-22,76.728470,77.653595,76.358421,77.326248,69.697365,7826345
2016-11-23,76.970428,77.368942,76.700005,76.956192,69.363815,3415797
2016-11-25,76.927727,77.283546,76.628845,77.112755,69.504921,1752584
2016-11-28,77.041595,77.482803,76.714241,77.312012,69.684525,4685338
2016-11-29,76.927727,77.269318,76.415352,76.842331,69.261177,3900244
2016-11-30,77.255081,79.816971,77.041595,79.304588,71.480522,12869662
2016-12-01,79.717339,80.386276,79.404221,79.859665,71.980812,7718987
2016-12-02,79.688873,79.745804,78.806442,78.877609,71.095673,5357171
2016-12-05,79.333054,80.457436,79.304588,79.788506,71.916679,7960824
2016-12-06,79.546547,80.044693,78.621422,80.016228,72.121933,6976330
2016-12-07,79.788506,81.112144,79.617706,80.984047,72.994293,5758290
2016-12-08,81.097908,82.165359,80.414742,81.738380,73.674194,5688240
2016-12-09,81.795311,82.193825,81.311401,82.136894,74.033401,4645360
2016-12-12,82.421555,83.360909,82.236526,82.933929,74.751793,7247958
2016-12-13,82.791603,83.318214,82.108429,82.763138,74.597839,5099174
2016-12-14,82.506950,82.876999,81.724152,82.065735,73.969254,6884359
2016-12-15,81.724152,83.232819,81.724152,83.047791,74.854408,4125852
2016-12-16,83.887520,83.972916,82.450020,83.133186,74.931381,6942324
2016-12-19,83.887520,83.887520,83.047791,83.659798,75.406029,4103087
2016-12-20,83.830589,83.972916,83.460541,83.688263,75.431686,3495753
2016-12-21,83.887520,84.442596,83.474770,84.086777,75.790901,3738012
2016-12-22,84.001381,84.186409,83.133186,83.617096,75.367554,3892165
2016-12-23,82.805832,83.190117,82.606575,83.161652,75.548592,2160167
2016-12-27,83.204353,83.830589,83.090485,83.147423,75.535637,1479972
2016-12-28,83.389374,83.588631,82.378853,82.407318,74.863289,2348114
2016-12-29,82.549644,82.748901,81.652985,81.724152,74.242676,2296824
2016-12-30,81.923409,81.951874,80.998283,81.439491,73.984047,3479031
2017-01-03,81.411034,82.450020,80.443207,81.980339,74.475403,4977763
2017-01-04,82.378853,82.933929,82.122665,82.635040,75.070168,3686371
2017-01-05,82.677742,82.820068,81.724152,82.264992,74.733994,2905704
2017-01-06,82.264992,82.393089,81.282936,81.752617,74.268524,3579434
2017-01-09,81.695686,84.086777,81.681450,82.250755,74.721077,7799435
2017-01-10,82.136894,82.307693,81.354095,82.079964,74.565895,4151778
2017-01-11,82.407318,82.976624,81.738380,82.919693,75.328766,4561679
2017-01-12,82.933929,83.417839,82.635040,82.962395,75.367561,4255483
2017-01-13,82.933929,83.019325,82.165359,82.264992,74.733994,4053905
2017-01-17,81.866478,81.866478,81.083679,81.596054,74.126297,3705833
2017-01-18,81.894943,82.136894,81.254471,82.136894,74.617638,2733635
2017-01-19,82.378853,82.549644,80.784790,81.254471,73.815987,2870854
2017-01-20,81.439491,82.023033,81.097908,81.667221,74.190948,4961955
2017-01-23,81.667221,82.079964,80.912888,81.325630,73.880638,3449311
2017-01-24,81.951874,85.068832,81.624519,84.883804,77.113068,6467362
2017-01-25,84.570686,85.894325,84.471062,85.695068,77.850067,6121608
2017-01-26,86.065125,87.744583,85.695068,87.417229,79.414558,7329320
2017-01-27,87.402992,87.858444,87.132576,87.260666,79.272346,3697191
2017-01-30,86.591728,86.705589,85.125763,85.609673,77.772484,3826119
2017-01-31,85.168465,85.325020,84.271805,84.869576,77.100143,4038377
2017-02-01,84.841110,85.880096,84.442596,85.823166,77.966446,3936499
2017-02-02,85.794701,86.235916,85.026138,85.196930,77.397514,2956010
2017-02-03,85.353485,85.794701,84.698784,85.695068,77.850067,3194756
2017-02-06,85.438881,85.609673,85.111534,85.424652,77.604416,2788368
2017-02-07,85.268089,85.695068,84.912270,85.097298,77.307030,2205204
2017-02-08,85.182693,85.396187,84.684547,85.011902,77.229439,3319961
2017-02-09,85.196930,85.894325,84.869576,85.766235,77.914719,2698083
2017-02-10,86.164749,87.246437,85.993958,87.089874,79.117172,3348979
2017-02-13,87.132576,88.029236,87.104111,87.616486,79.595589,2819915
2017-02-14,86.890617,87.872673,86.292847,87.844208,79.802475,3174802
2017-02-15,87.502625,87.588020,86.904854,86.961784,79.000816,5480549
2017-02-16,86.563263,87.445694,86.534798,87.402992,79.401642,3239793
2017-02-17,87.104111,87.274902,86.107819,87.189507,79.207710,2854765
2017-02-21,87.146805,88.043465,86.876389,87.132576,79.155968,3514232
2017-02-22,87.089874,91.601639,86.933319,90.619583,82.323769,13197147
2017-02-23,90.562653,90.918472,89.708694,90.192604,81.935883,4388697
2017-02-24,89.609062,90.505722,89.409805,90.448792,82.168617,3701688
2017-02-27,89.950645,90.534187,89.253242,89.537903,81.341118,5101422
2017-02-28,89.096687,89.495201,88.200027,88.612778,80.500694,5127770
2017-03-01,89.480972,90.576889,89.267479,90.320702,82.052254,6233323
2017-03-02,90.263763,90.619583,89.993347,90.164139,81.910011,3974159
2017-03-03,90.306465,90.534187,89.737160,90.036041,81.793640,2509222
2017-03-06,89.964882,91.046562,89.466736,90.391861,82.116898,5128051
2017-03-07,90.121437,90.377632,89.822556,89.879486,81.651428,5361738
2017-03-08,89.979111,91.160423,89.665993,90.064507,81.819496,4866049
2017-03-09,90.050278,90.648048,89.395576,90.434563,82.155678,4194778
2017-03-10,90.847305,91.160423,90.278000,90.861542,82.543594,3863709
2017-03-13,90.918472,91.430847,90.761909,91.245827,82.892685,3083042
2017-03-14,91.075027,91.260056,90.320702,90.633820,82.336708,2478588
2017-03-15,90.975403,91.800896,90.761909,91.715500,83.319359,3111919
2017-03-16,91.672806,91.772430,90.605354,90.890007,82.569435,3374905
2017-03-17,91.302757,91.630104,90.833076,91.131966,82.789230,7688002
2017-03-20,91.018097,92.028625,90.690750,91.800896,83.396942,4620768
2017-03-21,91.857826,92.128250,89.537903,89.779854,81.560905,6969656
2017-03-22,89.466736,89.566368,88.200027,89.367111,81.185951,6510010
2017-03-23,89.167847,90.989632,88.954361,90.847305,82.530632,5372769
2017-03-24,90.619583,91.459312,89.395576,89.779854,81.560905,4169694
